Deviation   Distance   stdDev
sc1_1.txt
Robots Position 0.5
sensor span 359
sensor distance 10
movement alg: NagentsMove
agents 2
location alg fixEstimationAlgorithm
1    4.952    0.336
2    9.953    0.619
3    14.753    1.024
4    19.692    1.416
5    24.733    1.601
6    30.046    2.059
7    34.691    1.896
8    39.487    2.984
9    44.026    3.503
10    50.282    3.101
11    53.736    3.848
12    59.464    3.842
13    62.958    3.902
14    68.765    5.313
15    75.959    5.166
16    79.977    5.34
17    85.489    5.555
18    90.525    6.535
19    92.784    6.335
20    98.027    8.002


sc1_2.txt
Robots Position 0.5
sensor span 359
sensor distance 10
movement alg: NagentsMove
agents 2
location alg average
1    5.354    0.361
2    10.843    0.7
3    15.847    1.131
4    21.486    1.532
5    26.445    1.817
6    32.513    2.048
7    37.547    2.525
8    42.6    3.353
9    48.18    3.25
10    52.741    3.231
11    58.631    3.7
12    63.062    4.843
13    69.669    4.82
14    75.245    4.263
15    78.832    3.354
16    83.554    5.608
17    91.128    5.616
18    94.09    6.629
19    102.111    5.774
20    105.474    7.182


sc1_3.txt
Robots Position 0.5
sensor span 359
sensor distance 10
movement alg: NagentsMove
agents 2
location alg fixEstimationAlgorithmV2
1    7.734    0.182
2    15.465    0.432
3    23.084    0.635
4    30.903    0.832
5    38.605    0.907
6    46.72    1.291
7    53.981    1.256
8    61.658    1.195
9    69.963    1.952
10    77.512    2.345
11    85.174    2.072
12    92.705    2.521
13    100.536    2.605
14    108.377    2.085
15    116.173    2.495
16    124.168    3.291
17    130.965    3.599
18    138.204    3.487
19    146.804    3.417
20    155.462    4.358


