Deviation   Distance   stdDev
sc0.txt

0    0    0
1    0.181    0.051
2    0.363    0.085
3    0.525    0.142
4    0.666    0.181
5    0.89    0.226
6    0.996    0.282
7    1.131    0.353
8    1.36    0.336
9    1.612    0.416
10    1.684    0.39
11    1.915    0.451
12    2.002    0.474
13    2.181    0.561
14    2.374    0.54
15    2.651    0.59
16    2.532    0.564
17    2.922    0.624
18    2.951    0.921
19    3.273    0.794
20    3.399    0.877


sc1.txt

0    0    0
1    0.2    0.057
2    0.361    0.122
3    0.579    0.154
4    0.711    0.243
5    0.917    0.232
6    0.912    0.295
7    1.218    0.37
8    1.53    0.45
9    1.764    0.457
10    1.682    0.594
11    1.808    0.534
12    2.371    0.614
13    2.431    0.649
14    2.33    0.818
15    2.587    0.765
16    2.707    0.775
17    3.037    0.842
18    3.135    1.034
19    3.563    1.119
20    3.755    1.057


sc2.txt

0    0    0
1    0.11    0.028
2    0.193    0.057
3    0.285    0.077
4    0.353    0.114
5    0.462    0.141
6    0.582    0.179
7    0.641    0.202
8    0.781    0.201
9    0.872    0.28
10    0.973    0.336
11    0.98    0.307
12    1.213    0.345
13    1.251    0.368
14    1.321    0.39
15    1.489    0.479
16    1.514    0.405
17    1.511    0.481
18    1.815    0.486
19    1.744    0.568
20    2.031    0.516


