Deviation      Distance from actual position
-2         70.59894280562364
-1.9         70.84852352799754
-1.8         71.09816768274605
-1.7         71.34787444646375
-1.6         71.59764300437308
-1.5         71.84747255023916
-1.4         72.09736228628546
-1.3         72.34731142311017
-1.2         72.59731917960366
-1.1         72.84738478286656
-1         73.09750746812898
-0.9         73.34768647867028
-0.8         73.59792106573983
-0.7         73.84821048847856
-0.6         74.09855401384127
-0.5         74.34895091651975
-0.4         74.59940047886688
-0.3         74.84990199082118
-0.2         75.1004547498324
-0.1         75.35105806078774
0         75.60171123593891
0.1         75.85241359482998
0.2         76.10316446422578
0.3         76.35396317804128
0.4         76.60480907727145
0.5         76.85570150992217
0.6         77.1066398309414
0.7         77.35762340215157
0.8         77.60865159218223
0.9         77.85972377640365
1         78.11083933686103
1.1         78.3619976622094
1.2         78.61319814764907
1.3         78.86444019486203
1.4         79.11572321194859
1.5         79.36704661336512
1.6         79.61840981986212
1.7         79.86981225842304
1.8         80.12125336220362
1.9         80.37273257047215
